|cible|prediction|Signal achat
2024-12-05|6052.85|6058.7900400000035|False
2024-12-06|6034.91|6073.932000000005|True
2024-12-09|6084.19|6039.4180000000015|True
2024-12-10|6051.25|6061.700399999988|False
2024-12-11|6051.09|6063.505999999991|True
2024-12-12|6074.08|6052.82904|True
2024-12-13|6050.61|6064.742799999999|False
2024-12-16|5872.16|6057.7087200000005|True
2024-12-17|5867.08|5957.97156|True
2024-12-18|5930.85|5938.247199999998|True
2024-12-19|5974.07|5942.944080000011|True
2024-12-20|6040.04|5965.581080000005|False
2024-12-23|6037.59|5992.135760000012|False
2024-12-24|5970.84|6017.714479999999|False
2024-12-26|5906.94|5997.837240000008|True
2024-12-27|5881.63|5952.11948|True
2024-12-30|5868.55|5947.464279999999|True
2024-12-31|5942.47|5946.78504000001|True
2025-01-02|5975.38|5935.725960000002|False
2025-01-03|5909.03|5981.954920000007|True
2025-01-06|5918.25|5951.961720000005|True
2025-01-07|5827.04|5937.486959999998|True
2025-01-08|5836.22|5951.098240000003|True
2025-01-10|5842.91|5910.126919999996|True
2025-01-13|5949.91|5885.5925599999955|True
2025-01-14|5937.34|5909.57731999999|False
2025-01-15|5996.66|5900.693800000003|False
2025-01-16|6049.24|5929.326199999993|False
2025-01-17|6086.37|5987.247239999998|False
2025-01-21|6118.71|6021.824120000004|False
2025-01-22|6101.24|6044.121399999999|False
2025-01-23|6012.28|6063.260439999993|False
2025-01-24|6067.7|6030.405879999999|True
2025-01-27|6039.31|5983.309520000001|False
2025-01-28|6071.17|6047.5745999999945|True
2025-01-29|6040.53|6031.986600000002|False
2025-01-30|5994.57|6053.675760000004|True
2025-01-31|6037.88|6022.274960000004|True
2025-02-03|6061.48|5986.178039999997|False
2025-02-04|6083.57|6048.161359999996|False
2025-02-05|6025.99|6004.996199999998|False
2025-02-06|6066.44|5996.1177999999945|False
2025-02-07|6068.5|6010.246719999993|False
2025-02-10|6051.97|6019.752959999995|False
2025-02-11|6115.07|5986.701199999987|False
2025-02-12|6114.63|6020.501839999997|False
2025-02-13|6129.58|5994.277679999994|False
2025-02-14|6144.15|6054.181599999993|False
2025-02-18|6117.52|6047.465799999991|False
2025-02-19|6013.13|6084.175040000004|False
2025-02-20|5983.25|6070.299239999993|True
2025-02-21|5955.25|6009.173319999992|True
2025-02-24|5956.06|5962.737440000001|True
2025-02-25|5861.57|5955.771840000009|False
2025-02-26|5954.5|5926.184920000006|True
2025-02-27|5849.72|5893.926440000007|False
2025-02-28|5778.15|5936.0306|True
2025-03-03|5842.63|5885.290079999991|True
2025-03-04|5738.52|5853.5043999999825|True
2025-03-05|5770.2|5860.09048|True
2025-03-06|5614.56|5775.171399999994|True
